Site,frequency,Leq
Rural,440,-91.38
Rural,450,-91.48
Rural,460,-91.57
Rural,470,-91.66
Rural,480,-91.75
Rural,490,-91.84
Rural,500,-91.92
Rural,510,-92
Rural,520,-92.08
Rural,530,-92.15
Rural,540,-92.21
Rural,550,-92.27
Rural,560,-92.33
Rural,570,-92.38
Rural,580,-92.44
Rural,590,-92.49
Rural,600,-92.54
Rural,610,-92.59
Rural,620,-92.63
Rural,630,-92.68
Rural,640,-92.72
Rural,650,-92.76
Rural,660,-92.8
Rural,670,-92.84
Rural,680,-92.87
Rural,690,-92.9
Rural,700,-92.92
Rural,710,-92.94
Rural,720,-92.96
Rural,730,-92.97
Rural,740,-92.97
Rural,750,-92.97
Rural,760,-92.97
Rural,770,-92.97
Rural,780,-92.96
Rural,790,-92.96
Rural,800,-92.95
Rural,810,-92.94
Rural,820,-92.94
Rural,830,-92.94
Rural,840,-92.94
Rural,850,-92.94
Rural,860,-92.95
Rural,870,-92.96
Rural,880,-92.98
Rural,890,-93
Rural,900,-93.02
Rural,910,-93.05
Rural,920,-93.08
Rural,930,-93.12
Rural,940,-93.16
Rural,950,-93.19
Rural,960,-93.23
Rural,970,-93.26
Rural,980,-93.3
Rural,990,-93.33
Rural,1000,-93.35
Rural,1010,-93.37
Rural,1020,-93.38
Rural,1030,-93.39
Rural,1040,-93.38
Rural,1050,-93.38
Rural,1060,-93.36
Rural,1070,-93.34
Rural,1080,-93.32
Rural,1090,-93.3
Rural,1100,-93.27
Rural,1110,-93.25
Rural,1120,-93.24
Rural,1130,-93.23
Rural,1140,-93.23
Rural,1150,-93.23
Rural,1160,-93.24
Rural,1170,-93.25
Rural,1180,-93.27
Rural,1190,-93.29
Rural,1200,-93.32
Rural,1210,-93.34
Rural,1220,-93.36
Rural,1230,-93.37
Rural,1240,-93.39
Rural,1250,-93.4
Rural,1260,-93.41
Rural,1270,-93.42
Rural,1280,-93.42
Rural,1290,-93.43
Rural,1300,-93.43
Rural,1310,-93.44
Rural,1320,-93.45
Rural,1330,-93.45
Rural,1340,-93.47
Rural,1350,-93.48
Rural,1360,-93.49
Rural,1370,-93.51
Rural,1380,-93.53
Rural,1390,-93.54
Rural,1400,-93.55
Rural,1410,-93.56
Rural,1420,-93.57
Rural,1430,-93.58
Rural,1440,-93.58
Rural,1450,-93.57
Rural,1460,-93.57
Rural,1470,-93.55
Rural,1480,-93.54
Rural,1490,-93.52
Rural,1500,-93.49
Rural,1510,-93.47
Rural,1520,-93.43
Rural,1530,-93.4
Rural,1540,-93.36
Rural,1550,-93.32
Rural,1560,-93.28
Rural,1570,-93.24
Rural,1580,-93.2
Rural,1590,-93.17
Rural,1600,-93.13
Rural,1610,-93.1
Rural,1620,-93.07
Rural,1630,-93.04
Rural,1640,-93.03
Rural,1650,-93.01
Rural,1660,-93
Rural,1670,-93
Rural,1680,-93
Rural,1690,-93
Rural,1700,-93.01
Rural,1710,-93.01
Rural,1720,-93.02
Rural,1730,-93.03
Rural,1740,-93.03
Rural,1750,-93.04
Rural,1760,-93.05
Rural,1770,-93.07
Rural,1780,-93.09
Rural,1790,-93.11
Rural,1800,-93.14
Rural,1810,-93.18
Rural,1820,-93.22
Rural,1830,-93.27
Rural,1840,-93.33
Rural,1850,-93.39
Rural,1860,-93.45
Rural,1870,-93.51
Rural,1880,-93.57
Rural,1890,-93.62
Rural,1900,-93.67
Rural,1910,-93.71
Rural,1920,-93.74
Rural,1930,-93.77
Rural,1940,-93.79
Rural,1950,-93.8
Rural,1960,-93.81
Rural,1970,-93.81
Rural,1980,-93.8
Rural,1990,-93.8
