Low_Freq,Power_ambient,Power_test
1221.3,-91.82,-41.53
1226.6,-92.51,-39.32
1232,-89.08,-42.49
1237.4,-88.54,-38.53
1242.8,-92.07,-39.4
1248.2,-93.87,-63.53
1253.5,-90.2,-38.24
1258.9,-78.43,-40.56
1264.3,-83.03,-56.47
1269.7,-101.96,-50.37
1275.1,-100.86,-56.69
1280.4,-112.45,-52.29
1285.8,-109.75,-50.02
1291.2,-116.71,-52.47
1296.6,-97.01,-52.75
1302,-100.45,-47.35
1307.3,-96.03,-43.47
1312.7,-92.81,-44.52
1318.1,-84.76,-47.69
1323.5,-105.42,-51.8
1328.9,-89.42,-42.81
1334.2,-94.84,-43.84
1339.6,-92.24,-40.29
1345,-93.31,-47.03
1350.4,-92.19,-42.12
1355.8,-95.44,-50.35
1361.1,-88.38,-47.93
1366.5,-88.04,-50.17
1371.9,-81.36,-42.65
1377.3,-73.74,-39.3
1382.7,-74.4,-43.3
1388,-87.91,-46.67
1393.4,-89.63,-48.09
1398.8,-91.59,-39.97
1404.2,-88.8,-47.91
1409.6,-95.36,-45.37
1414.9,-92.08,-52.21
1420.3,-94.46,-43.42
1425.7,-101.42,-48.49
1431.1,-102.42,-54.93
1436.5,-87.55,-48.66
1441.8,-89.51,-46.04
1447.2,-100.85,-42.21
1452.6,-103.61,-37.86
1458,-99.84,-40.27
1463.4,-105.04,-47.3
1468.7,-104.66,-41.45
1474.1,-100.55,-44.68
1479.5,-106.86,-44.91
1484.9,-99.15,-42.94
1490.3,-88.99,-38.45
1495.6,-71.55,-43.01
1501,-68.96,-50.34
1506.4,-78.6,-45.16
1511.8,-94.57,-37.4
1517.2,-93.75,-36.91
1522.5,-94.68,-35.54
1527.9,-100.7,-34.13
1533.3,-98.32,-35.92
1538.7,-99.09,-39.91
1544.1,-100.41,-43.79
1549.4,-106.63,-40.83
1554.8,-88.57,-36.96
1560.2,-96.18,-37.44
1565.6,-92.34,-40.72
1571,-96.36,-39.86
1576.3,-103.61,-42.24
1581.7,-95.23,-47.76
1587.1,-93.79,-45.97
1592.5,-97.78,-40.59
1597.9,-100.45,-40.77
1603.2,-104.86,-37.89
1608.6,-93.52,-36.62
1614,-75.19,-40.62
1619.4,-69.73,-47.49
1624.8,-76.88,-60.69
1630.1,-106.5,-44.99
1635.5,-100.13,-39.32
1640.9,-102.36,-38.55
1646.3,-108.06,-48.9
1651.7,-106.95,-41.07
1657,-94.61,-57.78
1662.4,-92.13,-40.89
1667.8,-96.18,-39.95
1673.2,-99,-44.09
1678.6,-98.3,-38.98
1683.9,-92.53,-36.66
1689.3,-107.69,-42.08
1694.7,-107.09,-43.4
1700.1,-95.75,-41.56
1705.5,-95.92,-47.05
1710.8,-93.53,-46.42
1716.2,-90.97,-41
1721.6,-95.6,-36.47
1727,-91.93,-41.37
1732.4,-78.81,-50.15
1737.7,-68.43,-45.06
1743.1,-71.26,-41.6
1748.5,-88,-50.53
1753.9,-97.75,-47.96
1759.3,-105.63,-45.15
1764.6,-99.55,-48.62
1770,-111.9,-42.95
1775.4,-96.04,-48.5
1780.8,-95.62,-49.45
1786.2,-98.41,-39.02
1791.5,-98.22,-36.69
1796.9,-89.42,-42.89
1802.3,-89.04,-42.69
1807.7,-99.24,-53.76
1813.1,-105.94,-44.48
1818.4,-108.07,-46.29
