Low_Freq,Power_ambient,Power_test
1226.6,-121.04,-42.48
1232,-115.38,-41.17
1237.4,-113.2,-38.22
1242.8,-107.27,-40.09
1248.2,-106.14,-41.66
1253.5,-106.51,-39.04
1258.9,-104.24,-40.34
1264.3,-109.5,-44.87
1269.7,-112.28,-43.09
1275.1,-110.06,-41.58
1280.4,-108.73,-39.39
1285.8,-111.25,-38.42
1291.2,-111.17,-38.84
1296.6,-113.1,-40.56
1302,-110.63,-42.48
1307.3,-109.84,-40.22
1312.7,-110.43,-41.94
1318.1,-112.76,-42.97
1323.5,-112.35,-44.19
1328.9,-112.99,-41.16
1334.2,-111.56,-42.83
1339.6,-113.2,-40.47
1345,-114.19,-42.12
1350.4,-114.04,-41.38
1355.8,-110.89,-40.96
1361.1,-111.69,-39.15
1366.5,-109.57,-42.7
1371.9,-105.69,-41.75
1377.3,-95.86,-40.07
1382.7,-98.73,-39.76
1388,-111.73,-41.6
1393.4,-108.84,-45.57
1398.8,-112.85,-43.8
1404.2,-114.6,-44.24
1409.6,-113.51,-39.52
1414.9,-117.74,-38.67
1420.3,-113.19,-42.34
1425.7,-107.7,-41.16
1431.1,-110.3,-45
1436.5,-113.18,-49.82
1441.8,-112.19,-43.86
1447.2,-111.04,-39.82
1452.6,-111.72,-39.88
1458,-111.83,-40.62
1463.4,-110.68,-39.53
1468.7,-110.38,-40.1
1474.1,-112.2,-41.25
1479.5,-112.43,-41.5
1484.9,-110.72,-42.08
1490.3,-109.92,-42.76
1495.6,-99.59,-42.65
1501,-98.79,-40.88
1506.4,-106.56,-39.45
1511.8,-108.87,-40.76
1517.2,-110.86,-39.43
1522.5,-108.52,-37.46
1527.9,-109.49,-38.01
1533.3,-113.46,-42.47
1538.7,-111.79,-40.64
1544.1,-108.07,-39.22
1549.4,-109.78,-40.96
1554.8,-112.17,-41.37
1560.2,-111.49,-37.16
1565.6,-112.01,-37.54
1571,-112.05,-37.73
1576.3,-112.71,-38.03
1581.7,-117.74,-39.48
1587.1,-114.47,-38.62
1592.5,-112.69,-38.76
1597.9,-111.01,-40.35
1603.2,-110.51,-39.72
1608.6,-112.02,-40.51
1614,-105.77,-45.12
1619.4,-101.7,-45.62
1624.8,-108.15,-39.89
1630.1,-112.99,-40.88
1635.5,-114.02,-41.59
1640.9,-114.52,-39.88
1646.3,-112.29,-40.12
1651.7,-114.38,-41.99
1657,-114.86,-43.15
1662.4,-114.13,-40.99
1667.8,-115.08,-39.21
1673.2,-111.02,-42.64
1678.6,-113.07,-41.7
1683.9,-118.92,-39.61
1689.3,-115.16,-38.61
1694.7,-112,-38.81
1700.1,-114.62,-40.36
1705.5,-115.7,-46.09
1710.8,-110.32,-40.8
1716.2,-110.4,-40.73
1721.6,-110.92,-39.37
1727,-112.01,-38.97
1732.4,-109.51,-40.62
1737.7,-102.53,-38.8
1743.1,-106.37,-38.87
1748.5,-116.79,-41.09
1753.9,-113.7,-39.55
1759.3,-113.77,-40.41
1764.6,-114.98,-39.92
1770,-115.52,-40.7
1775.4,-114.75,-44.16
1780.8,-113.32,-43.71
1786.2,-112.75,-39.68
1791.5,-112.95,-39.46
1796.9,-111.01,-42.83
1802.3,-113.98,-40.09
1807.7,-112.93,-40.65
1813.1,-114.79,-44.17
1818.4,-115.11,-44.1
1823.8,-117,-39.25
1829.2,-113.36,-39.4
1834.6,-109.91,-40.98
1840,-111.21,-38.92
1845.3,-115.9,-37.38
1850.7,-114.07,-36.27
1856.1,-104.67,-39.22
1861.5,-105.71,-40.91
1866.9,-113.73,-39.38
1872.2,-112.73,-40.15
1877.6,-111.18,-40.11
1883,-112.35,-40.43
1888.4,-110.82,-43.39
1893.8,-110.88,-40.16
1899.1,-114.58,-41.34
1904.5,-115.75,-43.71
1909.9,-114.39,-39.76
1915.3,-114.91,-40.39
1920.7,-113.72,-38.96
1926,-114.04,-39.47
1931.4,-113.74,-43.89
1936.8,-117.16,-39.11
1942.2,-115.94,-39.41
1947.6,-115.67,-41.23
1952.9,-113.05,-41.23
1958.3,-114.56,-40.57
1963.7,-113.56,-39.04
1969.1,-111.25,-37.91
1974.5,-107.49,-38.27
1979.8,-105.8,-38.44
1985.2,-111.99,-38.52
1990.6,-117.18,-44.15
1996,-116.04,-41.85
